startTime,endTime,cohInt,cancel
2022-10-25 00:00:00,2023-03-01 02:34:59,1,FALSE
2023-03-01 02:35:00,2023-03-01 17:04:59,1,TRUE
2023-03-01 17:05:00,2023-03-28 22:28:59,1,FALSE
2023-03-28 22:29:00,2023-03-29 18:01:59,1,FALSE
2023-03-29 18:02:00,2023-04-04 17:48:51,1,FALSE
2023-04-04 17:48:52,2023-04-05 17:44:59,1,FALSE
2023-04-05 17:45:00,2023-04-15 21:02:28,2,FALSE
2023-04-15 21:02:29,2023-04-16 18:34:35,2,FALSE
2023-04-16 18:34:36,2023-05-04 18:14:59,2,FALSE
2023-05-04 18:15:00,2023-05-16 18:09:31,2,FALSE
2023-05-16 18:09:32,2023-05-17 18:05:33,2,FALSE
2023-05-17 18:05:34,2023-05-20 21:14:27,2,FALSE
2023-05-20 21:14:28,2023-11-09 17:36:41,2,FALSE
2023-11-09 17:36:42,2023-11-10 17:44:07,4,FALSE
2023-11-10 17:44:08,2023-11-14 16:47:33,2,FALSE
2023-11-14 16:47:34,2023-11-18 17:47:26,4,FALSE
2023-11-18 17:47:27,2023-11-19 18:35:58,8,FALSE
2023-11-19 18:35:39,2023-11-22 17:47:26,4,FALSE
2023-11-22 17:47:27,2023-12-01 16:53:00,8,FALSE
2023-12-01 16:53:01,2023-12-02 21:43:16,0,TRUE
2023-12-02 21:43:17,2024-01-30 17:38:14,8,FALSE
2023-01-30 17:38:15,2024-01-31 00:12:42,0,TRUE
2023-01-31 00:12:43,2100-12-29 12:12:12,8,FALSE
